habName,timeDelta,caloosLink,gsheetsStatus
CalHABMAP Humboldt,"441 days, 16 hours, 41 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-Humboldt.html,This lag is due to gap in technician at Humboldt. New tech is being trained by Jeff Abel
CalHABMAP Trinidad Pier,"393 days, 18 hours, 56 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-TrinidadPier.html,This lag is due to gap in technician at Humboldt. New tech is being trained by Jeff Abel
CalHABMAP Humboldt South Bay,"392 days, 19 hours, 26 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-HumboldtSouthBay.html,This lag is due to gap in technician at Humboldt. New tech is being trained by Jeff Abel
CalHABMAP Bodega Marine Lab Buoy,"61 days, 18 hours, 49 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-BodegaMarineLabBuoy.html,
CalHABMAP Bodega Marine Lab,"16 days, 18 hours, 46 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-BodegaMarineLab.html,
CalHABMAP Tomales Bay Mouth,"55 days, 17 hours, 16 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-TomalesBayMouth.html,Latest HAB data for Tomales Bay was entered on July 28ths by Albert Carranza
CalHABMAP Tomales Bay Mid-Channel Buoy,"55 days, 16 hours, 40 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-TomalesBayMid-ChannelBuoy.html,
CalHABMAP Inner Tomales Bay,"55 days, 15 hours, 48 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-InnerTomalesBay.html,Latest HAB data for Tomales Bay was entered on July 28ths by Albert Carranza
CalHABMAP Santa Cruz Wharf,"14 days, 21 hours, 51 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-SantaCruzWharf.html,
CalHABMAP Monterey Wharf,"18 hours, 28 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-MontereyWharf.html,
CalHABMAP CalPoly Pier,"3 days, 20 hours, 32 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-CalPolyPier.html,
CalHABMAP Morro Bay Back Bay,"50 days, 19 hours, 43 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-MorroBayBackBay.html,These data are up to date
CalHABMAP Morro Bay Front Bay,"50 days, 20 hours, 26 minutes",https://erddap.sccoos.org/erddap/tabledap/HABs-MorroBayFrontBay.html,These data are up to date
